42	22667	22473	14263	0	ISHPR,314.56,+8.65,-179.28 6F	ISDPT,-000.267,M,000.9761,B,27.03,C 29	ISDPT,-000.292,M,000.9813,B,27.15,C 2E
43	22670	22472	14192	0	ISHPR,314.55,+8.65,-179.28 6C	ISDPT,-000.266,M,000.9761,B,27.03,C 28	ISDPT,-000.291,M,000.9814,B,27.15,C 2A
44	22668	22472	14241	0	ISHPR,314.55,+8.65,-179.27 63	ISDPT,-000.265,M,000.9763,B,27.03,C 29	ISDPT,-000.288,M,000.9817,B,27.15,C 21
45	22669	22471	14222	0	ISHPR,314.55,+8.65,-179.26 62	ISDPT,-000.261,M,000.9766,B,27.03,C 28	ISDPT,-000.288,M,000.9817,B,27.15,C 21
46	22670	22473	14208	0	ISHPR,314.56,+8.65,-179.27 60	ISDPT,-000.261,M,000.9766,B,27.03,C 28	ISDPT,-000.290,M,000.9815,B,27.16,C 29
47	22667	22472	14298	0	ISHPR,314.57,+8.66,-179.27 62	ISDPT,-000.259,M,000.9769,B,27.03,C 2C	ISDPT,-000.288,M,000.9817,B,27.16,C 22
48	22671	22470	14242	0	ISHPR,314.57,+8.65,-179.26 60	ISDPT,-000.257,M,000.9770,B,27.03,C 2A	ISDPT,-000.287,M,000.9818,B,27.16,C 22
49	22669	22472	14226	0	ISHPR,314.58,+8.65,-179.27 6E	ISDPT,-000.257,M,000.9770,B,27.03,C 2A	ISDPT,-000.288,M,000.9817,B,27.16,C 22
50	22672	22471	14277	0	ISHPR,314.58,+8.66,-179.27 6D	ISDPT,-000.258,M,000.9769,B,27.03,C 2D	ISDPT,-000.286,M,000.9819,B,27.16,C 22
51	22666	22471	14294	0	ISHPR,314.58,+8.65,-179.28 61	ISDPT,-000.257,M,000.9771,B,27.03,C 2B	ISDPT,-000.283,M,000.9822,B,27.16,C 2F
52	22666	22474	14255	0	ISHPR,314.58,+8.65,-179.28 61	ISDPT,-000.256,M,000.9772,B,27.03,C 29	ISDPT,-000.282,M,000.9823,B,27.16,C 2F
53	22669	22476	14241	0	ISHPR,314.58,+8.64,-179.28 60	ISDPT,-000.252,M,000.9776,B,27.03,C 29	ISDPT,-000.282,M,000.9823,B,27.16,C 2F
54	22665	22469	14284	0	ISHPR,314.57,+8.65,-179.28 6E	ISDPT,-000.253,M,000.9774,B,27.03,C 2A	ISDPT,-000.281,M,000.9824,B,27.16,C 2B
